question,difficulty,topics,link,frequency,acceptance
Replace the Substring for Balanced String,MEDIUM,"String, Sliding Window",https://leetcode.com/problems/replace-the-substring-for-balanced-string,100.0,0.3957927653982292
Merge Operations to Turn Array Into a Palindrome,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,87.5,0.689995052707691
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,72.8,0.5577705039146774
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,72.8,0.5354085753677094
Longest Substring Without Repeating Characters,MEDIUM,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters,62.0,0.369361859184929
Binary Tree Right Side View,MEDIUM,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-right-side-view,62.0,0.6704285161286567
Valid Parentheses,EASY,"String, Stack",https://leetcode.com/problems/valid-parentheses,62.0,0.4232291347030246
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,62.0,0.3584621823003475
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,53.4,0.651022298695307
Longest Common Prefix,EASY,"String, Trie",https://leetcode.com/problems/longest-common-prefix,53.4,0.4548320473937586
Reverse Vowels of a String,EASY,"Two Pointers, String",https://leetcode.com/problems/reverse-vowels-of-a-string,53.4,0.5818756373537052
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,53.4,0.4283739714438305
Longest Common Subsequence,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/longest-common-subsequence,53.4,0.5824930968693021
Remove Duplicates from Sorted Array II,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,53.4,0.6290213081051084
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,53.4,0.5778298514687346
Asteroid Collision,MEDIUM,"Array, Stack, Simulation",https://leetcode.com/problems/asteroid-collision,53.4,0.4550098688694731
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,53.4,0.5525969314041788
