question,difficulty,topics,link,frequency,acceptance
Burst Balloons,HARD,"Array, Dynamic Programming",https://leetcode.com/problems/burst-balloons,100.0,0.6131506571954038
Longest Increasing Subsequence,MEDIUM,"Array, Binary Search, Dynamic Programming",https://leetcode.com/problems/longest-increasing-subsequence,91.3,0.5780837494841731
Partition Array Into Two Arrays to Minimize Sum Difference,HARD,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask",https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,89.5,0.2175277160154665
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,89.5,0.6232001329897883
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,87.6,0.4521471552799032
Minimum Cost of a Path With Special Roads,MEDIUM,"Array, Graph, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,87.6,0.4033252427184466
Maximum Height by Stacking Cuboids ,HARD,"Array, Dynamic Programming, Sorting",https://leetcode.com/problems/maximum-height-by-stacking-cuboids,85.5,0.600829404437156
Trapping Rain Water,HARD,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water,85.5,0.6510203426350943
Vertical Order Traversal of a Binary Tree,HARD,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree",https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,85.5,0.5133056725792462
Minimize Deviation in Array,HARD,"Array, Greedy, Heap (Priority Queue), Ordered Set",https://leetcode.com/problems/minimize-deviation-in-array,85.5,0.539102969046115
Largest 1-Bordered Square,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/largest-1-bordered-square,83.2,0.5109808899476603
Number of Paths with Max Score,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/number-of-paths-with-max-score,83.2,0.4103505092869982
Maximum Product of Two Elements in an Array,EASY,"Array, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,83.2,0.832246345176316
Number of Nodes in the Sub-Tree With the Same Label,MEDIUM,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting",https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,83.2,0.5505105312484585
Find the Width of Columns of a Grid,EASY,"Array, Matrix",https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,83.2,0.693232244841104
Design Graph With Shortest Path Calculator,HARD,"Graph, Design, Heap (Priority Queue), Shortest Path",https://leetcode.com/problems/design-graph-with-shortest-path-calculator,83.2,0.6410393855779539
Stone Game IX,MEDIUM,"Array, Math, Greedy, Counting, Game Theory",https://leetcode.com/problems/stone-game-ix,83.2,0.2892163849377155
Faulty Keyboard,EASY,"String, Simulation",https://leetcode.com/problems/faulty-keyboard,83.2,0.7860907281885455
Minimum Number of Operations to Make String Sorted,HARD,"Math, String, Combinatorics",https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,83.2,0.5007734350830154
Count Prefix and Suffix Pairs II,HARD,"Array, String, Trie, Rolling Hash, String Matching, Hash Function",https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,83.2,0.2720387820263219
Mark Elements on Array by Performing Queries,MEDIUM,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation",https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,83.2,0.4769432539403733
Substring with Concatenation of All Words,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/substring-with-concatenation-of-all-words,83.2,0.329975374593568
Guess Number Higher or Lower,EASY,"Binary Search, Interactive",https://leetcode.com/problems/guess-number-higher-or-lower,83.2,0.5577414533005449
Two Sum IV - Input is a BST,EASY,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/two-sum-iv-input-is-a-bst,83.2,0.6221879312247514
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,77.7,0.5525960136419661
Is Graph Bipartite?,MEDIUM,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/is-graph-bipartite,74.5,0.577138580849355
Maximize Distance to Closest Person,MEDIUM,Array,https://leetcode.com/problems/maximize-distance-to-closest-person,70.8,0.489870429548439
Two Sum,EASY,"Array, Hash Table",https://leetcode.com/problems/two-sum,70.8,0.5577698197431944
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,66.4,0.3707096441937613
Rotting Oranges,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/rotting-oranges,66.4,0.5661847679426031
Possible Bipartition,MEDIUM,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/possible-bipartition,66.4,0.5150773648728767
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,66.4,0.5209980940492812
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,61.0,0.5922455519290348
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,54.0,0.4939526279002703
Word Search,MEDIUM,"Array, String, Backtracking, Depth-First Search, Matrix",https://leetcode.com/problems/word-search,54.0,0.4526701252584612
Coin Change,MEDIUM,"Array, Dynamic Programming, Breadth-First Search",https://leetcode.com/problems/coin-change,54.0,0.4649550446279863
